ID	Mentawai	Commons	IPA	Dutch	English	CONCEPTICON_GLOSS	CONCEPTICON_ID	Page	Category	Dialect	Source	Doculect
129	oeka akeh	u k a _ a k e '	u k a a k ɛ ʔ	rivier	river	RIVER	666	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
130	lehlejoe	l e h l e y u	l ɛ h l ɛ j u	berg	mountain	MOUNTAIN	639	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
131	liboet	l i b u t	l i b u t	eiland	island	ISLAND	622	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
132	boekko	b u k k o	b u k k o	steen	stone	STONE (OF FRUIT)	1762	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
133	behbehkwat	b e ' b e h k w a t	b ɛ ʔ b ɛ h k w a t	zeestrand	sea beach	BEACH	3460	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
134	boekei	b u k e i	b u k ɛ i	zand	sand	SAND	671	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
135	koat	k o a t	k o a t	zee	sea	SEA	1474	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
136	oeneij	u n e:i	u n ɛi̯	rots	rock	ROCK	668	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
137	taiteij	t a i t e:i	t a i t ɛi̯	vuursteen	flint	STONE	857	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
138	lahba	l a ' b a	l a ʔ b a	yzer	yzer		NA	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
139	latjo	l a c o	l a t͡ʒ o	koper	copper	COPPER	1825	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
140	boelagat	b u l a g a t	b u l a ɡ a t	gepolijst metaal	polished metal	METAL	2244	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
