ID	Mentawai	Commons	CommonsNotSegmented	IPA	IPAnotSegmented	Dutch	English	CONCEPTICON_GLOSS	CONCEPTICON_ID	Page	Category	Dialect	Source	Doculect
62	ebejo	e b e y o	ebeyo	ɛ b ɛ j o	ɛbɛjo	groot	great	BIG	1202	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
63	ngosoh	ng o s o '	ngoso'	ŋ o s o ʔ	ŋosoʔ	klein	small	SMALL	1246	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
64	mereboe	m e r e b u	merebu	m ɛ r ɛ b u	mɛrɛbu	regt	straight	STRAIGHT	1404	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
65	mebijau	m e b i y a u	mebiyau	m ɛ b i j a u	mɛbijau	krom	crooked	CROOKED	297	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
66	narda	n a r d a	narda	n a r d a	narda	lang	long	LONG	1203	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
67	tete	t e t e	tete	t ɛ t ɛ	tɛtɛ	kort	short	SHORT	1645	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
68	mesanne	m e s a n n e	mesanne	m ɛ s a n n ɛ	mɛsannɛ	zwaar	heavy	HEAVY	1210	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
69	menangka	m e n a ng k a	menangka	m ɛ n a ŋ k a	mɛnaŋka	ligt	lying	LIE DOWN	215	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
70	alia	a l i a	alia	a l i a	alia	breed	wide	WIDE	1243	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
71	naboeak	n a b u a k	nabuak	n a b u a k	nabuak	hoog	high	HIGH	1265	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
